case_id,payload_accepted,valid_span_count,invalid_span_count,answer_claim_in_memory_markdown,answer_token_in_built_memory_context,answer_token_in_selected_evidence,claim_without_selected_token_support_forwarded,evidence_gate_consistent,error
supported_exact__cerulean,True,1,0,True,True,True,False,,
evidence_only__cerulean,True,1,0,False,True,True,False,,
answer_only__cerulean,True,0,0,True,True,False,True,,
unknown_trajectory__cerulean,True,0,1,True,True,False,True,,
out_of_range__cerulean,True,0,1,True,True,False,True,,
opposite_value_decoy__cerulean,True,1,0,True,True,False,True,,
gated_empty_supported__cerulean,True,0,0,True,True,False,True,False,
gated_insufficient_answer__cerulean,True,0,0,True,True,False,True,False,
gated_policy_mismatch__cerulean,False,0,0,False,False,False,False,False,answer_policy must be 'answer_normally' when evidence_status is 'directly_supported'
empty_control__cerulean,True,0,0,False,False,False,False,,
supported_exact__magenta,True,1,0,True,True,True,False,,
evidence_only__magenta,True,1,0,False,True,True,False,,
answer_only__magenta,True,0,0,True,True,False,True,,
unknown_trajectory__magenta,True,0,1,True,True,False,True,,
out_of_range__magenta,True,0,1,True,True,False,True,,
opposite_value_decoy__magenta,True,1,0,True,True,False,True,,
gated_empty_supported__magenta,True,0,0,True,True,False,True,False,
gated_insufficient_answer__magenta,True,0,0,True,True,False,True,False,
